Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
CALIFORNIA VIRTUAL-SAN JOAQUIN054221,CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,3.81,,
CALIPATRIA HIGH SCHOOL050430,CALIPATRIA HIGH SCHOOL,Calipatria,Imperial,3.95,3.95,
CALISTOGA HIGH SCHOOL050435,CALISTOGA HIGH SCHOOL,Calistoga,Napa,3.72,3.75,
CAMINO NUEVO HIGH SCHOOL NO 2054693,CAMINO NUEVO HIGH SCHOOL NO 2,Los Angeles,Los Angeles,3.44,3.66,3.79
CAMINO NUEVO HIGH SCHOOL053991,CAMINO NUEVO HIGH SCHOOL,Los Angeles,Los Angeles,3.39,3.75,
CAMPOLINDO HIGH SCHOOL052058,CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,3.87,3.98,4
CANOGA PARK HIGH SCHOOL050465,CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles,3.72,3.89,3.97
CANYON CREST ACADEMY050893,CANYON CREST ACADEMY,San Diego,San Diego,3.95,3.98,3.99
CANYON HIGH SCHOOL052267,CANYON HIGH SCHOOL,Anaheim,Orange,3.88,4,4.04
CANYON HIGH SCHOOL053341,CANYON HIGH SCHOOL,Canyon Country,Los Angeles,3.89,3.98,3.95
CANYON SPRINGS HIGH SCHOOL052059,CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside,3.76,3.91,4.04
CAPISTRANO VALLEY HIGH SCHOOL051968,CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,4.04,4.1,4.14
CAPUCHINO HIGH SCHOOL052810,CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,3.83,3.93,4
CARLMONT HIGH SCHOOL050270,CARLMONT HIGH SCHOOL,Belmont,San Mateo,3.9,3.97,4.05
CARLSBAD HIGH SCHOOL050472,CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,3.88,4.02,4.04
CARMEL HIGH SCHOOL050475,CARMEL HIGH SCHOOL,Carmel,Monterey,4.02,4.07,4.15
CARPINTERIA HIGH SCHOOL050490,CARPINTERIA HIGH SCHOOL,Carpinteria,Santa Barbara,3.96,4.12,4.2
CARSON HIGH SCHOOL053515,CARSON HIGH SCHOOL,Carson,Los Angeles,3.72,3.91,4.07
CARUTHERS HIGH SCHOOL050495,CARUTHERS HIGH SCHOOL,Caruthers,Fresno,3.7,3.78,
CASA GRANDE HIGH SCHOOL052448,CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,3.79,3.88,3.9
CASA ROBLE FUNDAMENTAL HS052284,CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento,4.01,4.02,3.94
CASTLE PARK HIGH SCHOOL050573,CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego,3.72,3.85,3.94
CASTLEMONT HIGH SCHOOL054611,CASTLEMONT HIGH SCHOOL,Oakland,Alameda,3.63,3.72,
CASTRO VALLEY HIGH SCHOOL050500,CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,3.83,3.94,4
CATHEDRAL CITY HIGH SCHOOL050508,CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,3.65,3.86,4.13
CEIBA COLLEGE PREPARATORY ACAD054597,CEIBA COLLEGE PREPARATORY ACAD,Watsonville,Santa Cruz,3.77,3.88,4.08
CENTENNIAL HIGH SCHOOL050209,CENTENNIAL HIGH SCHOOL,Bakersfield,Kern,3.84,3.96,4.02
CENTENNIAL HIGH SCHOOL050650,CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,3.72,3.93,
CENTENNIAL HIGH SCHOOL050676,CENTENNIAL HIGH SCHOOL,Corona,Riverside,3.83,3.92,3.98
