Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
ALLIANCE OUCHI-O'DONOVAN 6-1251598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,App,39,23,16
ALLIANCE OUCHI-O'DONOVAN 6-1251598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,Adm,26,17,9
ALLIANCE OUCHI-O'DONOVAN 6-1251598,ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,Enr,6,5,
ALLIANCE PATTI & PETER ACADEMY54218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,App,34,24,10
ALLIANCE PATTI & PETER ACADEMY54218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,Adm,18,12,6
ALLIANCE PATTI & PETER ACADEMY54218,ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,Enr,3,3,
ALLIANCE RENEE & MEYER LUSKIN51663,ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,App,17,10,7
ALLIANCE RENEE & MEYER LUSKIN51663,ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,Adm,9,4,5
ALLIANCE SMIDT TECHNOLOGY HIGH54636,ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,App,39,23,16
ALLIANCE SMIDT TECHNOLOGY HIGH54636,ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,Adm,9,6,3
ALLIANCE TED K TAJIMA HIGH SCH54513,ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,App,39,19,20
ALLIANCE TED K TAJIMA HIGH SCH54513,ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,Adm,21,12,9
ALLIANCE TED K TAJIMA HIGH SCH54513,ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,Enr,4,,3
ALTA LOMA HIGH SCHOOL50077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,App,25,12,13
ALTA LOMA HIGH SCHOOL50077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,Adm,16,7,9
ALTA LOMA HIGH SCHOOL50077,ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,Enr,4,,
ALTA VISTA ALTERNATIVE HS54462,ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,App,7,7,
ALTA VISTA ALTERNATIVE HS54462,ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,Adm,6,6,
AMADOR HIGH SCHOOL53480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,App,7,,
AMADOR HIGH SCHOOL53480,AMADOR HIGH SCHOOL,Sutter Creek,Amador,Adm,5,4,
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,App,200,102,98
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Adm,145,69,76
AMADOR VALLEY HIGH SCHOOL52495,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Enr,32,16,16
AMBASSADOR SCHL GLOBAL LDRSHP51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,App,7,,
AMBASSADOR SCHL GLOBAL LDRSHP51776,AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,Adm,3,,
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,App,18,10,8
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Adm,11,5,6
AMERICAN CANYON HIGH SCHOOL54406,AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,Enr,3,,
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,App,213,122,91
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Adm,153,91,62
AMERICAN HIGH SCHOOL50974,AMERICAN HIGH SCHOOL,Fremont,Alameda,Enr,23,9,14
