Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
MARIANAPOLIS PREP SCHOOL70780,MARIANAPOLIS PREP SCHOOL,Thompson,CT,Enr,3,,,
MARIST HIGH SCHOOL141017,MARIST HIGH SCHOOL,Chicago,IL,App,7,6,,
MARIST HIGH SCHOOL380335,MARIST HIGH SCHOOL,Eugene,OR,App,6,,5,
MARIST HIGH SCHOOL380335,MARIST HIGH SCHOOL,Eugene,OR,Adm,4,,3,
MARIST SCHOOL110195,MARIST SCHOOL,Atlanta,GA,App,6,,,
MARLBORO HIGH SCHOOL310752,MARLBORO HIGH SCHOOL,Marlboro,NJ,App,8,,,
MARLBORO HIGH SCHOOL310752,MARLBORO HIGH SCHOOL,Marlboro,NJ,Adm,6,4,,
MARQUETTE HIGH SCHOOL260591,MARQUETTE HIGH SCHOOL,Chesterfield,MO,App,26,21,5,
MARQUETTE HIGH SCHOOL260591,MARQUETTE HIGH SCHOOL,Chesterfield,MO,Adm,17,12,5,
MARQUETTE HIGH SCHOOL260591,MARQUETTE HIGH SCHOOL,Chesterfield,MO,Enr,4,4,,
MARRIOTTS RIDGE HIGH SCHOOL210745,MARRIOTTS RIDGE HIGH SCHOOL,Marriottsville,MD,App,27,12,13,
MARRIOTTS RIDGE HIGH SCHOOL210745,MARRIOTTS RIDGE HIGH SCHOOL,Marriottsville,MD,Adm,13,8,5,
MARRIOTTS RIDGE HIGH SCHOOL210745,MARRIOTTS RIDGE HIGH SCHOOL,Marriottsville,MD,Enr,3,,,
MARS AREA HIGH SCHOOL392415,MARS AREA HIGH SCHOOL,Mars,PA,Adm,3,,,
MARVELWOOD SCHOOL70117,MARVELWOOD SCHOOL,Kent,CT,Adm,3,,,
MARVIN RIDGE HIGH SCHOOL342528,MARVIN RIDGE HIGH SCHOOL,Waxhaw,NC,App,11,7,,
MARVIN RIDGE HIGH SCHOOL342528,MARVIN RIDGE HIGH SCHOOL,Waxhaw,NC,Adm,6,4,,
MARY INSTITUTE AND SAINT LOUIS260655,MARY INSTITUTE AND SAINT LOUIS,Saint Louis,MO,App,36,16,20,
MARY INSTITUTE AND SAINT LOUIS260655,MARY INSTITUTE AND SAINT LOUIS,Saint Louis,MO,Adm,23,10,13,
MARY INSTITUTE AND SAINT LOUIS260655,MARY INSTITUTE AND SAINT LOUIS,Saint Louis,MO,Enr,5,,4,
MARYKNOLL HIGH SCHOOL120065,MARYKNOLL HIGH SCHOOL,Honolulu,HI,App,8,,,
MARYKNOLL HIGH SCHOOL120065,MARYKNOLL HIGH SCHOOL,Honolulu,HI,Adm,7,4,3,
MARYLAND990299,MARYLAND,,MD,App,5,,,
