Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
ANIMO VENICE CHARTER HS54069,ANIMO VENICE CHARTER HS,Venice,Los Angeles,App,58,35,23
ANIMO VENICE CHARTER HS54069,ANIMO VENICE CHARTER HS,Venice,Los Angeles,Adm,18,13,5
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,App,22,15,7
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Adm,16,10,6
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,App,9,8,
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Adm,7,6,
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,App,42,28,14
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Adm,33,21,12
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Enr,6,4,
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,App,20,13,7
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,Adm,11,6,5
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,App,60,40,20
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Adm,48,32,16
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Enr,4,3,
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,App,304,157,146
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Adm,259,139,120
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Enr,68,28,40
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,App,29,19,10
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,Adm,11,9,
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,Enr,3,,
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,App,83,55,28
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Adm,56,43,13
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Enr,24,18,6
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,App,160,86,74
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Adm,136,74,62
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Enr,20,10,10
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,App,17,10,7
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Adm,15,8,7
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Enr,6,5,
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,App,75,44,31
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Adm,58,36,22
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Enr,12,10,
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,App,31,23,8
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Adm,23,19,4
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Enr,5,5,
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,App,86,55,31
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Adm,48,34,14
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Enr,11,8,3
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,App,26,21,5
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,Adm,10,8,
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,App,16,10,6
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,Adm,8,5,3
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,App,19,10,9
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,Adm,11,6,5
ASPIRE PACIFIC ACADEMY51214,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,App,16,10,6
ASPIRE PACIFIC ACADEMY51214,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,Adm,10,6,4
AZUSA HIGH SCHOOL50188,AZUSA HIGH SCHOOL,Azusa,Los Angeles,App,31,21,10
AZUSA HIGH SCHOOL50188,AZUSA HIGH SCHOOL,Azusa,Los Angeles,Adm,19,13,6
AZUSA HIGH SCHOOL50188,AZUSA HIGH SCHOOL,Azusa,Los Angeles,Enr,4,3,
BALBOA HIGH SCHOOL52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,App,44,21,23
BALBOA HIGH SCHOOL52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,Adm,23,10,13
BALBOA HIGH SCHOOL52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,Enr,3,,
BANNING HIGH SCHOOL50230,BANNING HIGH SCHOOL,Banning,Riverside,App,41,26,15
BANNING HIGH SCHOOL50230,BANNING HIGH SCHOOL,Banning,Riverside,Adm,21,16,5
BANNING HIGH SCHOOL50230,BANNING HIGH SCHOOL,Banning,Riverside,Enr,4,4,
BARSTOW HIGH SCHOOL50235,BARSTOW HIGH SCHOOL,Barstow,San Bernardino,App,8,7,
BARSTOW HIGH SCHOOL50235,BARSTOW HIGH SCHOOL,Barstow,San Bernardino,Adm,6,5,
BAYFRONT CHARTER HIGH SCHOOL54777,BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,App,7,5,
BAYFRONT CHARTER HIGH SCHOOL54777,BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,Adm,4,4,
BEAR CREEK HIGH SCHOOL53436,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,App,7,,
BEAR CREEK HIGH SCHOOL53436,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,Adm,4,,3
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,App,56,29,27
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Adm,38,19,19
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Enr,4,,3
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,App,77,59,18
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Adm,30,27,3
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Enr,3,3,
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,App,78,46,31
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,Adm,45,27,17
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,Enr,7,,6
BELLA VISTA HIGH SCHOOL50912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,App,9,,5
BELLA VISTA HIGH SCHOOL50912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,Adm,7,3,4
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,App,26,18,8
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,Adm,14,9,5
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,Enr,3,3,
BELMONT HIGH SCHOOL51540,BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,App,15,9,6
BELMONT HIGH SCHOOL51540,BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,Adm,8,6,
BENICIA HIGH SCHOOL50280,BENICIA HIGH SCHOOL,Benicia,Solano,App,22,13,9
BENICIA HIGH SCHOOL50280,BENICIA HIGH SCHOOL,Benicia,Solano,Adm,19,12,7
BENJAMIN FRANKLIN HIGH SCHOOL51550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,App,43,29,14
BENJAMIN FRANKLIN HIGH SCHOOL51550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,Adm,23,17,6
BENJAMIN FRANKLIN HIGH SCHOOL51550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,Enr,5,5,
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,App,72,37,35
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Adm,56,30,26
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Enr,3,3,
BEVERLY HILLS HIGH SCHOOL50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,App,38,21,17
BEVERLY HILLS HIGH SCHOOL50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,Adm,31,19,12
BEVERLY HILLS HIGH SCHOOL50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,Enr,4,,
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,App,77,42,35
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,Adm,26,10,16
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,Enr,5,,3
BLAIR HIGH SCHOOL52373,BLAIR HIGH SCHOOL,Pasadena,Los Angeles,App,10,,6
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,App,92,63,29
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,Adm,33,25,8
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,Enr,12,7,5
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,App,101,58,43
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,Adm,59,35,24
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,Enr,17,10,7
BONITA HIGH SCHOOL51370,BONITA HIGH SCHOOL,La Verne,Los Angeles,App,70,38,32
