Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
BEIJING HAIDIAN KAIWEN ACADEMY694042,BEIJING HAIDIAN KAIWEN ACADEMY,n/a ,"CHINA, PEOPLES REPUBLIC",3.76,3.76,
BEIJING HUIJIA PRIVATE SCHOOL694383,BEIJING HUIJIA PRIVATE SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.95,4.07,4.1
BEIJING LU HE INTERNATIONAL HS694279,BEIJING LU HE INTERNATIONAL HS,n/a ,"CHINA, PEOPLES REPUBLIC",3.93,3.91,
BEIJING NATIONAL DAY SCHOOL694342,BEIJING NATIONAL DAY SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",4.02,4.03,4.04
BEIJING NEW ORIENTAL YANGZHOU694407,BEIJING NEW ORIENTAL YANGZHOU,n/a ,"CHINA, PEOPLES REPUBLIC",3.54,3.7,
BEIJING NEW TALENT ACADEMY694574,BEIJING NEW TALENT ACADEMY,n/a ,"CHINA, PEOPLES REPUBLIC",3.81,3.86,
BEIJING NO 2 MIDDLE SCHOOL694445,BEIJING NO 2 MIDDLE SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.91,3.93,3.94
BEIJING NO 8 HIGH SCHOOL694584,BEIJING NO 8 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.86,3.87,
BEIJING NO 12 HIGH SCHOOL694385,BEIJING NO 12 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.61,3.7,
BEIJING NO 35 HIGH SCHOOL694575,BEIJING NO 35 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.57,3.73,3.71
BEIJING NO 80 HIGH SCHOOL694227,BEIJING NO 80 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.92,3.92,4
BEIJING NO 101 HIGH SCHOOL694443,BEIJING NO 101 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",4.02,4.03,4.11
BEIJING NO. 4 HIGH SCHOOL694334,BEIJING NO. 4 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",4.04,4.03,
